"","date","n"
"528",2014-07-11,3
"529",2014-07-12,3
"530",2014-07-13,5
"531",2014-07-14,3
"532",2014-07-15,1
"533",2014-07-16,4
"534",2014-07-17,4
"535",2014-07-18,3
"536",2014-07-19,1
"537",2014-07-20,2
"538",2014-07-21,1
"539",2014-07-22,6
"540",2014-07-23,2
"541",2014-07-24,1
"542",2014-07-25,2
"543",2014-07-26,2
"544",2014-07-27,2
"545",2014-07-28,3
"546",2014-07-29,6
"547",2014-07-30,4
"548",2014-07-31,1
"549",2014-08-01,4
"550",2014-08-02,5
"551",2014-08-03,6
"552",2014-08-04,1
"553",2014-08-05,6
"554",2014-08-06,2
"555",2014-08-07,1
"556",2014-08-08,4
"557",2014-08-09,6
"558",2014-08-10,3
"559",2014-08-11,7
"560",2014-08-12,4
"561",2014-08-13,6
"562",2014-08-14,3
"563",2014-08-15,1
"564",2014-08-16,1
"565",2014-08-17,2
"566",2014-08-18,3
"567",2014-08-19,6
"568",2014-08-20,3
"569",2014-08-22,2
"570",2014-08-23,5
"571",2014-08-24,4
"572",2014-08-25,4
"573",2014-08-26,4
"574",2014-08-27,5
"575",2014-08-28,4
"576",2014-08-29,4
"577",2014-08-30,4
"578",2014-08-31,4
"579",2014-09-01,2
"580",2014-09-02,2
"581",2014-09-03,4
"582",2014-09-05,1
"583",2014-09-06,1
"584",2014-09-07,1
"585",2014-09-08,6
"586",2014-09-09,2
"587",2014-09-11,3
"588",2014-09-12,3
"589",2014-09-13,3
"590",2014-09-14,3
"591",2014-09-15,2
"592",2014-09-16,3
"593",2014-09-17,2
"594",2014-09-18,3
"595",2014-09-19,4
"596",2014-09-20,3
"597",2014-09-21,2
"598",2014-09-22,2
"599",2014-09-23,6
"600",2014-09-24,2
"601",2014-09-25,2
"602",2014-09-26,2
"603",2014-09-27,4
"604",2014-09-28,2
"605",2014-09-29,2
"606",2014-09-30,5
"607",2014-10-01,3
"608",2014-10-02,2
"609",2014-10-03,2
"610",2014-10-04,3
"611",2014-10-05,1
"612",2014-10-06,1
"613",2014-10-07,5
"614",2014-10-08,4
"615",2014-10-09,2
"616",2014-10-10,3
"617",2014-10-11,3
"618",2014-10-12,4
"619",2014-10-13,3
"620",2014-10-16,1
"621",2014-10-17,3
"622",2014-10-18,3
"623",2014-10-20,5
"624",2014-10-21,1
"625",2014-10-22,1
"626",2014-10-23,5
"627",2014-10-24,6
"628",2014-10-25,4
"629",2014-10-26,2
"630",2014-10-27,4
"631",2014-10-28,6
"632",2014-10-29,1
"633",2014-10-30,1
"634",2014-10-31,1
"635",2014-11-01,4
"636",2014-11-02,3
"637",2014-11-03,4
"638",2014-11-04,1
"639",2014-11-05,2
"640",2014-11-06,3
"641",2014-11-07,1
"642",2014-11-08,5
"643",2014-11-09,6
"644",2014-11-11,4
"645",2014-11-12,1
"646",2014-11-13,6
"647",2014-11-14,4
"648",2014-11-15,1
"649",2014-11-16,7
"650",2014-11-17,1
"651",2014-11-18,3
"652",2014-11-19,2
"653",2014-11-20,4
"654",2014-11-21,1
"655",2014-11-22,6
"656",2014-11-23,3
"657",2014-11-24,2
"658",2014-11-25,4
"659",2014-11-26,3
"660",2014-11-27,1
"661",2014-11-28,4
"662",2014-11-30,2
"663",2014-12-01,4
"664",2014-12-02,3
"665",2014-12-03,2
"666",2014-12-04,4
"667",2014-12-05,2
"668",2014-12-07,6
"669",2014-12-08,2
"670",2014-12-09,3
"671",2014-12-10,3
"672",2014-12-11,2
"673",2014-12-12,1
"674",2014-12-13,3
"675",2014-12-14,3
"676",2014-12-15,4
"677",2014-12-17,8
"678",2014-12-18,2
"679",2014-12-19,3
"680",2014-12-20,1
"681",2014-12-21,3
"682",2014-12-22,4
"683",2014-12-23,2
"684",2014-12-24,4
"685",2014-12-25,3
"686",2014-12-26,3
"687",2014-12-27,1
"688",2014-12-28,3
"689",2014-12-29,2
"690",2014-12-30,4
"691",2014-12-31,6
"692",2015-01-01,1
"693",2015-01-02,2
"694",2015-01-03,1
"695",2015-01-04,3
"696",2015-01-05,1
"697",2015-01-06,5
"698",2015-01-07,6
"699",2015-01-08,4
"700",2015-01-09,1
"701",2015-01-11,3
"702",2015-01-13,2
"703",2015-01-14,5
"704",2015-01-15,6
"705",2015-01-16,5
"706",2015-01-17,3
"707",2015-01-18,2
"708",2015-01-19,1
"709",2015-01-20,1
"710",2015-01-21,5
"711",2015-01-22,2
"712",2015-01-23,3
"713",2015-01-24,3
"714",2015-01-25,2
"715",2015-01-26,4
"716",2015-01-27,4
"717",2015-01-28,3
"718",2015-01-29,2
"719",2015-01-30,1
"720",2015-01-31,2
"721",2015-02-02,3
"722",2015-02-03,5
"723",2015-02-04,7
"724",2015-02-06,1
"725",2015-02-07,2
"726",2015-02-08,6
"727",2015-02-09,2
"728",2015-02-10,3
"729",2015-02-11,3
"730",2015-02-13,5
"731",2015-02-14,2
"732",2015-02-15,3
"733",2015-02-16,3
"734",2015-02-17,5
"735",2015-02-18,1
"736",2015-02-20,5
"737",2015-02-21,2
"738",2015-02-22,2
"739",2015-02-23,6
"740",2015-02-24,1
"741",2015-02-25,2
"742",2015-02-26,5
"743",2015-02-27,1
"744",2015-02-28,7
"745",2015-03-01,5
"746",2015-03-02,1
"747",2015-03-03,2
"748",2015-03-04,2
"749",2015-03-05,3
"750",2015-03-06,5
"751",2015-03-07,1
"752",2015-03-08,3
"753",2015-03-09,4
"754",2015-03-10,5
"755",2015-03-11,7
"756",2015-03-12,1
"757",2015-03-13,5
"758",2015-03-14,3
"759",2015-03-15,2
"760",2015-03-16,2
"761",2015-03-17,6
"762",2015-03-18,3
"763",2015-03-19,7
"764",2015-03-20,3
"765",2015-03-21,4
"766",2015-03-22,3
"767",2015-03-23,1
"768",2015-03-24,4
"769",2015-03-25,3
"770",2015-03-26,2
"771",2015-03-27,8
"772",2015-03-29,3
"773",2015-03-30,3
"774",2015-03-31,5
"775",2015-04-01,2
"776",2015-04-02,5
"777",2015-04-03,1
"778",2015-04-04,5
"779",2015-04-05,2
"780",2015-04-06,5
"781",2015-04-07,1
"782",2015-04-08,5
"783",2015-04-09,5
"784",2015-04-10,2
"785",2015-04-11,1
"786",2015-04-12,3
"787",2015-04-13,2
"788",2015-04-14,2
"789",2015-04-15,6
"790",2015-04-16,2
"791",2015-04-17,4
"792",2015-04-18,2
"793",2015-04-19,4
"794",2015-04-20,1
"795",2015-04-21,5
"796",2015-04-22,5
"797",2015-04-23,3
"798",2015-04-24,4
"799",2015-04-25,3
"800",2015-04-26,3
"801",2015-04-27,1
"802",2015-04-28,3
"803",2015-04-29,6
"804",2015-04-30,2
"805",2015-05-02,1
"806",2015-05-03,6
"807",2015-05-04,1
"808",2015-05-05,3
"809",2015-05-06,1
"810",2015-05-07,3
"811",2015-05-08,4
"812",2015-05-10,2
"813",2015-05-11,3
"814",2015-05-12,4
"815",2015-05-14,2
"816",2015-05-15,2
"817",2015-05-16,1
"818",2015-05-17,3
"819",2015-05-19,3
"820",2015-05-20,5
"821",2015-05-21,5
"822",2015-05-22,1
"823",2015-05-23,3
"824",2015-05-25,2
"825",2015-05-26,3
"826",2015-05-27,6
"827",2015-05-28,4
"828",2015-05-29,4
"829",2015-05-30,2
"830",2015-05-31,3
"831",2015-06-01,1
"832",2015-06-02,2
"833",2015-06-03,5
"834",2015-06-05,3
"835",2015-06-06,5
"836",2015-06-07,2
"837",2015-06-08,4
"838",2015-06-09,5
"839",2015-06-10,1
"840",2015-06-11,5
"841",2015-06-12,1
"842",2015-06-13,4
"843",2015-06-14,2
"844",2015-06-15,2
"845",2015-06-16,3
"846",2015-06-17,2
"847",2015-06-18,1
"848",2015-06-19,3
"849",2015-06-20,3
"850",2015-06-21,2
"851",2015-06-22,4
"852",2015-06-23,4
"853",2015-06-24,1
"854",2015-06-25,2
"855",2015-06-26,2
"856",2015-06-27,1
"857",2015-06-28,1
"858",2015-06-29,1
"859",2015-06-30,1
"860",2015-07-01,3
"861",2015-07-02,4
"862",2015-07-03,4
"863",2015-07-04,5
"864",2015-07-05,4
"865",2015-07-06,6
"866",2015-07-07,8
"867",2015-07-08,3
"868",2015-07-09,6
"869",2015-07-10,3
"870",2015-07-11,2
"871",2015-07-12,5
"872",2015-07-13,4
"873",2015-07-14,2
"874",2015-07-15,1
"875",2015-07-16,7
"876",2015-07-17,5
"877",2015-07-18,5
"878",2015-07-19,1
"879",2015-07-20,5
"880",2015-07-21,3
"881",2015-07-22,3
"882",2015-07-23,5
"883",2015-07-24,2
"884",2015-07-25,4
"885",2015-07-26,2
"886",2015-07-27,3
"887",2015-07-28,2
"888",2015-07-29,3
"889",2015-07-30,5
"890",2015-07-31,2
"891",2015-08-01,3
"892",2015-08-02,1
"893",2015-08-03,4
"894",2015-08-04,2
"895",2015-08-05,6
"896",2015-08-06,4
"897",2015-08-07,7
"898",2015-08-08,4
"899",2015-08-09,4
"900",2015-08-10,1
"901",2015-08-11,2
"902",2015-08-12,6
"903",2015-08-14,4
"904",2015-08-15,5
"905",2015-08-16,2
"906",2015-08-17,2
"907",2015-08-19,4
"908",2015-08-20,3
"909",2015-08-21,4
"910",2015-08-22,6
"911",2015-08-23,5
"912",2015-08-25,5
"913",2015-08-26,3
"914",2015-08-27,4
"915",2015-08-28,4
"916",2015-08-29,3
"917",2015-08-30,2
"918",2015-08-31,3
"919",2015-09-01,3
"920",2015-09-02,1
"921",2015-09-04,6
"922",2015-09-05,5
"923",2015-09-06,3
"924",2015-09-07,3
"925",2015-09-08,2
"926",2015-09-09,4
"927",2015-09-10,5
"928",2015-09-11,2
"929",2015-09-12,2
"930",2015-09-13,3
"931",2015-09-14,2
"932",2015-09-15,5
"933",2015-09-16,1
"934",2015-09-17,2
"935",2015-09-18,2
"936",2015-09-19,3
"937",2015-09-20,2
"938",2015-09-21,6
"939",2015-09-22,4
"940",2015-09-23,5
"941",2015-09-24,3
"942",2015-09-25,4
"943",2015-09-26,2
"944",2015-09-27,3
"945",2015-09-28,2
"946",2015-09-29,2
"947",2015-09-30,2
"948",2015-10-02,4
"949",2015-10-04,3
"950",2015-10-05,3
"951",2015-10-06,1
"952",2015-10-07,1
"953",2015-10-09,2
"954",2015-10-10,5
"955",2015-10-11,4
"956",2015-10-12,2
"957",2015-10-14,5
"958",2015-10-15,7
"959",2015-10-16,5
"960",2015-10-17,4
"961",2015-10-18,4
"962",2015-10-19,1
"963",2015-10-20,6
"964",2015-10-21,4
"965",2015-10-22,3
"966",2015-10-23,1
"967",2015-10-24,7
"968",2015-10-25,1
"969",2015-10-26,4
"970",2015-10-27,1
"971",2015-10-28,4
"972",2015-10-29,4
"973",2015-10-30,5
"974",2015-10-31,2
"975",2015-11-01,4
"976",2015-11-02,1
"977",2015-11-03,1
"978",2015-11-04,4
"979",2015-11-05,4
"980",2015-11-06,4
"981",2015-11-09,7
"982",2015-11-10,4
"983",2015-11-11,4
"984",2015-11-12,1
"985",2015-11-13,3
"986",2015-11-14,2
"987",2015-11-15,4
"988",2015-11-16,2
"989",2015-11-17,6
"990",2015-11-18,3
"991",2015-11-19,3
"992",2015-11-20,4
"993",2015-11-21,1
"994",2015-11-22,3
"995",2015-11-23,2
"996",2015-11-24,3
"997",2015-11-25,4
"998",2015-11-26,1
"999",2015-11-27,1
"1000",2015-11-28,1
"1001",2015-11-29,5
"1002",2015-11-30,3
"1003",2015-12-01,2
"1004",2015-12-02,7
"1005",2015-12-03,1
"1006",2015-12-04,3
"1007",2015-12-05,5
"1008",2015-12-06,3
"1009",2015-12-07,1
"1010",2015-12-08,3
"1011",2015-12-09,3
"1012",2015-12-10,4
"1013",2015-12-11,1
"1014",2015-12-12,7
"1015",2015-12-13,4
"1016",2015-12-14,8
"1017",2015-12-15,2
"1018",2015-12-16,1
"1019",2015-12-17,2
"1020",2015-12-18,4
"1021",2015-12-19,2
"1022",2015-12-20,4
"1023",2015-12-21,8
"1024",2015-12-22,4
"1025",2015-12-23,1
"1026",2015-12-24,5
"1027",2015-12-25,1
"1028",2015-12-26,4
"1029",2015-12-27,3
"1030",2015-12-28,1
"1031",2015-12-29,3
"1032",2015-12-30,2
"1033",2015-12-31,1
"1034",2016-01-01,1
"1035",2016-01-02,3
"1036",2016-01-03,1
"1037",2016-01-04,2
"1038",2016-01-05,6
"1039",2016-01-06,3
"1040",2016-01-08,2
"1041",2016-01-10,2
"1042",2016-01-11,4
"1043",2016-01-12,2
"1044",2016-01-13,2
"1045",2016-01-14,2
"1046",2016-01-15,2
"1047",2016-01-16,6
"1048",2016-01-17,6
"1049",2016-01-18,5
"1050",2016-01-19,4
"1051",2016-01-20,3
"1052",2016-01-21,1
"1053",2016-01-22,1
"1054",2016-01-23,1
"1055",2016-01-25,2
"1056",2016-01-26,2
"1057",2016-01-27,8
"1058",2016-01-28,3
"1059",2016-01-29,3
"1060",2016-01-30,4
"1061",2016-01-31,5
"1062",2016-02-01,2
"1063",2016-02-02,2
"1064",2016-02-03,3
"1065",2016-02-04,5
"1066",2016-02-05,6
"1067",2016-02-06,2
"1068",2016-02-07,3
"1069",2016-02-08,3
"1070",2016-02-09,4
"1071",2016-02-10,5
"1072",2016-02-11,3
"1073",2016-02-12,5
"1074",2016-02-13,4
"1075",2016-02-14,3
"1076",2016-02-15,3
"1077",2016-02-16,3
"1078",2016-02-17,1
"1079",2016-02-18,4
"1080",2016-02-19,2
"1081",2016-02-20,4
"1082",2016-02-21,5
"1083",2016-02-22,5
"1084",2016-02-23,4
"1085",2016-02-24,5
"1086",2016-02-25,5
"1087",2016-02-26,2
"1088",2016-02-27,1
"1089",2016-02-28,2
"1090",2016-02-29,1
"1091",2016-03-01,3
"1092",2016-03-02,2
"1093",2016-03-03,2
"1094",2016-03-04,2
"1095",2016-03-05,2
"1096",2016-03-06,3
"1097",2016-03-07,7
"1098",2016-03-08,1
"1099",2016-03-10,5
"1100",2016-03-11,4
"1101",2016-03-12,4
"1102",2016-03-13,8
"1103",2016-03-14,1
"1104",2016-03-15,3
"1105",2016-03-16,4
"1106",2016-03-17,5
"1107",2016-03-18,2
"1108",2016-03-19,5
"1109",2016-03-20,4
"1110",2016-03-21,3
"1111",2016-03-22,2
"1112",2016-03-23,3
"1113",2016-03-24,7
"1114",2016-03-26,4
"1115",2016-03-27,5
"1116",2016-03-29,3
"1117",2016-03-30,3
"1118",2016-03-31,4
"1119",2016-04-01,2
"1120",2016-04-02,1
"1121",2016-04-03,4
"1122",2016-04-04,1
"1123",2016-04-05,2
"1124",2016-04-06,4
"1125",2016-04-07,2
"1126",2016-04-08,3
"1127",2016-04-09,2
"1128",2016-04-10,4
"1129",2016-04-11,2
"1130",2016-04-12,3
"1131",2016-04-13,3
"1132",2016-04-14,1
"1133",2016-04-15,4
"1134",2016-04-16,1
"1135",2016-04-17,5
"1136",2016-04-18,2
"1137",2016-04-19,3
"1138",2016-04-20,2
"1139",2016-04-21,2
"1140",2016-04-22,2
"1141",2016-04-23,6
"1142",2016-04-24,1
"1143",2016-04-25,1
"1144",2016-04-26,4
"1145",2016-04-27,3
"1146",2016-04-28,4
"1147",2016-04-29,1
"1148",2016-04-30,4
"1149",2016-05-01,3
"1150",2016-05-02,1
"1151",2016-05-03,1
